@relation test
@attribute attribute1 numeric
@attribute attribute2 numeric
@attribute attribute3 numeric
@attribute attribute4 numeric
@attribute attribute5 numeric
@attribute attribute6 numeric
@attribute attribute7 numeric
@attribute attribute8 numeric
@attribute attribute9 numeric
@attribute attribute10 numeric
@attribute attribute11 numeric
@attribute attribute12 numeric
@attribute attribute13 numeric
@attribute attribute14 numeric
@attribute attribute15 numeric
@attribute attribute16 numeric
@attribute attribute17 numeric
@attribute attribute18 numeric
@attribute attribute19 numeric
@attribute attribute20 numeric
@attribute attribute21 numeric
@attribute attribute22 numeric
@attribute attribute23 numeric
@attribute attribute24 numeric
@attribute attribute25 numeric
@attribute attribute26 numeric
@attribute attribute27 numeric
@attribute attribute28 numeric
@attribute attribute29 numeric
@attribute attribute30 numeric
@attribute attribute31 numeric
@attribute attribute32 numeric
@attribute attribute33 numeric
@attribute attribute34 numeric
@attribute attribute35 numeric
@attribute attribute36 numeric
@attribute attribute37 numeric
@attribute attribute38 numeric
@attribute attribute39 numeric
@attribute attribute40 numeric
@attribute class {sit,stand}
@data
"-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.23","-0.23","-0.23","-0.23","-0.23","-0.23","-0.23","-0.23","-0.23","-0.23","-0.23","-0.23","-0.23","-0.23","-0.23","-0.23","-0.23","-0.23","-0.23","-0.23","-0.23","-0.23","-0.23","-0.23","-0.23","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","stand"
"-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.23","-0.23","-0.23","-0.23","-0.23","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.22","-0.22","-0.22","-0.22","stand"
"-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.23","-0.23","-0.23","-0.23","-0.23","-0.23","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.22","-0.22","-0.22","-0.22","-0.22","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","stand"
"-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","stand"
"-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.23","-0.23","-0.23","-0.23","-0.23","stand"
"-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.20","-0.20","-0.20","-0.20","-0.20","-0.20","-0.21","-0.21","-0.21","stand"
"-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.23","-0.23","-0.23","-0.23","-0.23","-0.23","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","stand"
"-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","stand"
"-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","stand"
"-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.22","-0.22","-0.22","-0.22","-0.22","-0.22","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","stand"
